name,major,concentration,minor,certification,licensure,masters,parent,phone,www
Environmental Science,X,,X,,X,,x,303-556-3143,http://www.msudenver.edu/eas/
Ecological Restoration,,X,,,,,,303-556-3143,
Environmental Chemistry,,X,,,,,,303-556-3143,
Environmental Geology,,X,,,,,,303-556-3143,
Environmental Studies,,,X,,,,,303-556-3143,
Multidisciplinary,,X,,,,,,303-556-3143,
Water Management and Hydrologic Science,,X,,,,,,303-556-3143,
Finance,X,,,,,,x,303-556-3776,http://www.msudenver.edu/fin/
Financial Services,,X,X,,,,,303-556-3776,
General Finance,,X,X,,,,,303-556-3776,
Personal Financial Planning,,,,X,,,,303-556-3776,
Financial Planning (non-credit),,,,X,,,,303-556-3776,
Geography (EAS),,,X,,,,x,303-556-3143,http://www.msudenver.edu/eas/
Geology (EAS),,X,X,,,,x,303-556-3143,http://www.msudenver.edu/eas/
Health Care Management,X,,X,,,,x,303-556-3130,http://www.msudenver.edu/hep/
History,X,,X,,X,,x,303-556-3113,http://www.msudenver.edu/history/
General,,X,,,,,,303-556-3113,
Secondary Education,,X,,,X,,,303-556-3113,
"Hospitality, Tourism and Events",X,,,,,,x,303-556-3152,http://www.msudenver.edu/hmt/programs/
Beverage,,,X,,,,,303-556-3152,
Beverage Management,,,,X,,,,303-556-3152,
Events,,,X,,,,,303-556-3152,
Events Management,,X,,X,,,,303-556-3152,
Hotel,,,X,,,,,303-556-3152,
Hotel Management,,X,,X,,,,303-556-3152,
Restaurant,,,X,,,,,303-556-3152,
Restaurant Management,,X,,X,,,,303-556-3152,
Tourism,,,X,,,,,303-556-3152,
Tourism Management,,X,,X,,,,303-556-3152,
Human Development,X,,,,,,x,303-556-3205,http://www.msudenver.edu/psychology/humandevelopmentmajor/
Human Nutrition - Dietetics,X,,,,,,x,303-556-3130,http://www.msudenver.edu/hep/
Nutrition,,,X,,,,,303-556-3130,
Human Performance and Sport,X,,X,,,,x,303-556-3145,http://www.msudenver.edu/hps/
Adult Fitness and Exercise Science,,X,,,,,,303-556-3145,
K-12 Physical Education,,X,,,X,,,303-556-3145,
Sport Industry Operations,,X,,X,,,,303-556-3145,
Human Services,X,,X,,,,x,303-556-2951,http://www.msudenver.edu/hsp/
Addiction Studies,,X,,,,,,303-556-2951,
Domestic Violence Counseling,,X,,,,,,303-556-2951,
High Risk Youth Studies,,X,,X,,,,303-556-2951,
Mental Health Counseling,,X,,,,,,303-556-2951,
Nonprofit Studies,,X,X,X,,,,303-556-2951,
Paramedic,,X,,,,,,303-556-2951,
Individualized Degree Program,X,,X,,,,x,303-556-8342,http://www.msudenver.edu/cil/
International Studies,,X,,,,,,303-352-7001,http://www.msudenver.edu/internationalstudies/
Industrial Design,X,,X,,,,x,303-556-2916,http://www.msudenver.edu/ind/
Integrative Therapeutic Practices,X,,X,,,,x,303-556-3130,http://www.msudenver.edu/hep/integrativetherapeuticpractices/
Pre-Health Care,,,X,,,,,303-556-3130,
Journalism,X,,X,,,,x,303-556-3485,http://www.msudenver.edu/techcom/
Convergent Journalism,,X,,,,,,303-556-3486,
Magazines,,X,,,,,,303-556-3485,
Public Relations,,X,X,,,,,303-556-3485,
Land Use,X,,,,,,x,303-556-3143,http://www.msudenver.edu/eas/
Environment and Resources,,X,,,,,,303-556-3143,
Geographic Information Systems,,X,X,X,,,,303-556-3143,
Geology,,X,,,,,,303-556-3143,
Geotechnology Systems,,,,X,,,,303-556-3143,
Urban Land Use Planning,,X,,,,,,303-556-3143,
"Legal Studies, Interdisciplinary",,,X,,,,x,303-556-3113,http://www.msudenver.edu/history/
Linguistics,X,,X,,,,x,303-556-3211,
Management,X,,X,,,,x,303-556-3247,http://www.msudenver.edu/management/
Marketing,X,,X,,,,x,303-556-3182,http://www.msudenver.edu/marketing/
Sales,,,,X,,,,303-556-3182,
Mathematics,X,,X,,,,x,303-556-3208,http://math.msudenver.edu/
Applied Mathematics,,X,,,,,,303-556-3208,
Computer Science,,X,,,,,,303-556-3208,
General Mathematics,,X,,,,,,303-556-3208,
Mathematics Education,,X,,,X,,,303-556-3208,
Probability and Statistics,,X,,,,,,303-556-3208,
Statistics,,,X,,,,,303-556-3208,
Theoretical Mathematics,,X,,,,,,303-556-3208,
Mechanical Engineering Technology,X,,X,,,,,303-556-2976,http://www.msudenver.edu/met/
Manufacturing,,X,,,,,x,303-556-2976,
Mechanical,,X,,,,,,303-556-2976,
Meteorology,X,,X,,,,x,303-556-3143,
Modern Languages,X,,,,X,,x,303-556-2908,http://www.msudenver.edu/mdl/
French,,X,X,,,,,303-556-2908,
German,,X,X,,,,,303-556-2908,
Spanish,,X,X,,,,,303-556-2908,
Basic Competency in French,,,,X,,,,303-556-2908,
Basic Competency in German,,,,X,,,,303-556-2908,
Basic Competency in Spanish,,,,X,,,,303-556-2908,
German Translation,,,,X,,,,303-556-2908,
Spanish Translation,,,,X,,,,303-556-2908,
Music,X,,X,,,,x,303-556-3180,http://www.msudenver.edu/music/
Composition,,X,,,,,,303-556-3180,
Guitar,,X,,,,,,303-556-3180,
Jazz and American Improvised Music Performance,,X,,,,,,,
Organ,,X,,,,,,303-556-3180,
Piano,,X,,,,,,303-556-3180,
Voice Performance,,X,,,,,,303-556-3180,
"Woodwind, Brass, String or Percussion",,X,,,,,,303-556-3180,
Music Education,X,,,,X,,x,303-556-3180,
Choral,,X,,,,,,303-556-3180,
Instrumental,,X,,,,,,303-556-3180,
Native American Studies,,,X,,,,x,303-556-4859,http://www.msudenver.edu/polisci/academics/nativeamericanstudiesminor/
Nursing,X,,,,,,x,303-556-4391,http://www.msudenver.edu/nursing/
"Nursing, Accelerated",X,,,,,,,303-556-4391,
Philosophy,X,,X,,,,x,303-352-4951,http://www.msudenver.edu/phi/
Religious Studies,,,X,,,,,303-352-4951,
Physics,X,,X,,,,x,303-556-2454,http://www.msudenver.edu/physics/
Political Science,X,,X,,X,,x,303-556-3220,http://www.msudenver.edu/polisci/
Leadership Studies,,,X,,,,,303-556-3220,
Public Affairs and Administration,,,X,,,,,303-556-3220,http://www.msudenver.edu/polisci/academics/publicaffairsandadministrationminor/
Psychology,X,,X,,,,x,303-556-3205,http://www.msudenver.edu/psych/
Recreation Professions,X,,,,,,x,303-556-3130,http://www.msudenver.edu/hep/recreationprofessions/
Recreation Generalist,,X,,,,,,303-556-3130,
Recreation Management,,X,,,,,,303-556-3130,
Recreation Services,,,X,,,,,303-556-3130,
Therapeutic Recreation Services,,X,,,,,,303-556-3130,
Social Work,X,,,,,,x,303-556-3474,http://www.msudenver.edu/socialwork/
Family Support in Social Work,,,X,X,,,,,
Master of Social Work,,,,,,X,X,303-556-3474,
Sociology,X,,X,,,,x,303-556-3167,http://www.msudenver.edu/soc/
Gerontology,,X,,,,,,,
Special Education,X,,X,,X,,x,303-556-6228,http://www.msudenver.edu/ted/programs/specialeducation/
Speech Communication,X,,X,,X,,x,303-556-3033,http://msudenver.edu/cas/
Broadcasting,,X,,,,,,303-556-3033,
Communication Theory,,X,,,,,,303-556-3033,
Organizational Communication,,X,,,,,,303-556-3033,
Rhetoric and Public Address,,X,,,,,,303-556-3033,
"Speech, Language, and Hearing Sciences",X,X,X,X,X,,x,303-556-3033,http://msudenver.edu/cas/
Speech Language and Hearing Sciences Ð Leveling Certificate,,,,X,,,,,
Speech-Language Pathology Assistant,,,,X,,,,303-556-3033,
Teacher Education Licensure,,,,,,,x,303-556-6228,http://www.msudenver.edu/ted/
Master of Arts in Teaching,,,,,X,X,X,303-556-6228,
Early Childhood Education,,,,,X,,,,
Elementary Education,,,,,X,,,,
K-12 Art Licensure,,,,,X,,,,
K-12 Foreign Language ,,,,,X,,,,
K-12 Music Licensure,,,,,X,,,,
K-12 Physical Education,,,,,X,,,,
Secondary Education,,,,,X,,,,
Special Education,,,,,X,,,,
Technical Communication,X,,X,,,,x,303-556-2518,http://www.msudenver.edu/techcom/
Interactive Media Production,,X,,,,,,303-556-2518,
Mobile and Social Media,,X,,,,,,,
Technical Writing and Editing,,X,,X,,,,303-556-2518,
Video Production,,X,,X,,,,303-556-2518,
Training and Organizational Development,,,X,,,,,303-556-2518,
Theatre,X,,X,,,,x,303-556-2152,http://www.msudenver.edu/theatre/
Applied Theatre Technology and Design,,X,,,,,,303-556-2152,
Music Theatre,,X,,,,,,303-556-2152,
Water Studies,,,X,,,,,303-352-7400,http://www.msudenver.edu/owow/
Women's Studies (Institute for Women's Studies,X,,X,,,,x,303-556-8441,http://www.msudenver.edu/women/
Genders and Sexualities,,,X,,,,,303-556-8441,
